id,sex,age,city,education_level,university,main_in_life,main_in_people,smoking,alcohol,political,synthetic_cluster
3959,м,33,Новосибирск,высшее,ИТМО,наука и исследование,доброта и честность,негативное,негативное,Социалистические,reliable
3960,м,29,Уфа,высшее,МГУ,саморазвитие,доброта и честность,негативное,негативное,Социалистические,reliable
3961,ж,41,Санкт-Петербург,высшее,РАНХиГС,саморазвитие,доброта и честность,резко негативное,нейтральное,Индифферентные,reliable
3962,м,33,Казань,неоконченное высшее,ИТМО,саморазвитие,власть и богатство,негативное,положительное,Индифферентные,borderline
3963,м,42,Самара,высшее,КФУ,наука и исследование,доброта и честность,резко негативное,негативное,Умеренные,reliable
3964,м,38,Самара,высшее,СПбГУ,семья и дети,власть и богатство,нейтральное,компромиссное,Умеренные,borderline
3965,ж,36,Челябинск,среднее,,развлечения и отдых,юмор и жизнелюбие,компромиссное,положительное,Либеральные,risky
3966,ж,33,Томск,неоконченное высшее,СПбГУ,наука и исследование,доброта и честность,негативное,негативное,Умеренные,reliable
3967,ж,26,Самара,высшее,МГТУ им. Баумана,наука и исследование,доброта и честность,резко негативное,резко негативное,Социалистические,reliable
3968,ж,32,Екатеринбург,среднее спец.,,карьера и деньги,власть и богатство,положительное,компромиссное,Либеральные,risky
3969,ж,37,Челябинск,высшее,НГУ,семья и дети,доброта и честность,компромиссное,компромиссное,Умеренные,reliable
3970,ж,24,Омск,неоконченное высшее,МГТУ им. Баумана,семья и дети,доброта и честность,компромиссное,положительное,Консервативные,borderline
3971,м,28,Самара,высшее,ТГУ,саморазвитие,юмор и жизнелюбие,негативное,положительное,Индифферентные,borderline
3972,м,34,Челябинск,высшее,РАНХиГС,семья и дети,юмор и жизнелюбие,компромиссное,компромиссное,Индифферентные,borderline
3973,ж,34,Санкт-Петербург,высшее,МГУ,саморазвитие,доброта и честность,компромиссное,нейтральное,Индифферентные,borderline
3974,ж,35,Омск,высшее,КФУ,семья и дети,ум и креативность,негативное,негативное,Консервативные,reliable
3975,м,42,Уфа,неоконченное высшее,РАНХиГС,карьера и деньги,ум и креативность,нейтральное,компромиссное,Либертарианство,borderline
3976,ж,37,Уфа,высшее,МИФИ,саморазвитие,ум и креативность,резко негативное,резко негативное,Умеренные,reliable
3977,ж,32,Уфа,высшее,ИТМО,наука и исследование,смелость и упорство,негативное,резко негативное,Консервативные,reliable
3978,м,28,Москва,среднее спец.,,развлечения и отдых,красота и здоровье,нейтральное,положительное,Либертарианство,risky
3979,м,24,Екатеринбург,высшее,НГУ,наука и исследование,доброта и честность,негативное,компромиссное,Социалистические,reliable
3980,ж,23,Москва,высшее,ИТМО,семья и дети,доброта и честность,негативное,компромиссное,Консервативные,reliable
3981,м,24,Омск,высшее,УрФУ,саморазвитие,ум и креативность,нейтральное,нейтральное,Либеральные,borderline
3982,ж,32,Екатеринбург,неоконченное высшее,ИТМО,саморазвитие,ум и креативность,негативное,негативное,Индифферентные,borderline
3983,м,44,Екатеринбург,высшее,РАНХиГС,наука и исследование,доброта и честность,резко негативное,нейтральное,Умеренные,reliable
3984,ж,30,Москва,среднее,,семья и дети,юмор и жизнелюбие,нейтральное,компромиссное,Индифферентные,borderline
3985,ж,25,Уфа,высшее,СПбГУ,карьера и деньги,ум и креативность,резко негативное,нейтральное,Консервативные,reliable
3986,м,38,Москва,высшее,МГТУ им. Баумана,карьера и деньги,доброта и честность,нейтральное,резко негативное,Умеренные,reliable
3987,ж,30,Санкт-Петербург,среднее,,карьера и деньги,красота и здоровье,положительное,положительное,Индифферентные,risky
3988,ж,40,Новосибирск,среднее спец.,,карьера и деньги,власть и богатство,положительное,компромиссное,Индифферентные,borderline
3989,м,32,Казань,среднее,,семья и дети,ум и креативность,резко негативное,резко негативное,Консервативные,reliable
3990,ж,43,Новосибирск,высшее,МГУ,саморазвитие,ум и креативность,компромиссное,компромиссное,Либеральные,borderline
3991,ж,23,Самара,неоконченное высшее,РАНХиГС,карьера и деньги,доброта и честность,нейтральное,нейтральное,Либеральные,borderline
3992,м,29,Челябинск,высшее,УрФУ,совершенствование мира,смелость и упорство,негативное,негативное,Консервативные,reliable
3993,м,21,Томск,высшее,ТГУ,совершенствование мира,ум и креативность,негативное,нейтральное,Социалистические,reliable
3994,м,36,Уфа,высшее,ТГУ,развлечения и отдых,ум и креативность,компромиссное,нейтральное,Либеральные,borderline
3995,ж,32,Екатеринбург,высшее,ТГУ,саморазвитие,доброта и честность,резко негативное,негативное,Умеренные,reliable
3996,ж,31,Томск,высшее,СПбГУ,наука и исследование,доброта и честность,негативное,нейтральное,Консервативные,reliable
3997,м,32,Новосибирск,среднее спец.,,саморазвитие,юмор и жизнелюбие,компромиссное,нейтральное,Умеренные,borderline
3998,м,31,Самара,высшее,КФУ,семья и дети,доброта и честность,негативное,резко негативное,Умеренные,reliable
3999,ж,44,Челябинск,неоконченное высшее,УрФУ,совершенствование мира,доброта и честность,негативное,негативное,Умеренные,reliable
4000,ж,34,Самара,неоконченное высшее,ИТМО,семья и дети,смелость и упорство,негативное,компромиссное,Социалистические,reliable
4001,м,42,Уфа,высшее,УрФУ,наука и исследование,ум и креативность,резко негативное,резко негативное,Социалистические,reliable
4002,ж,21,Новосибирск,неоконченное высшее,УрФУ,развлечения и отдых,власть и богатство,нейтральное,нейтральное,Умеренные,borderline
4003,м,38,Новосибирск,высшее,КФУ,совершенствование мира,ум и креативность,нейтральное,нейтральное,Умеренные,reliable
4004,ж,23,Екатеринбург,неоконченное высшее,МИФИ,наука и исследование,смелость и упорство,негативное,негативное,Умеренные,reliable
4005,ж,30,Омск,неоконченное высшее,МГТУ им. Баумана,слава и влияние,юмор и жизнелюбие,положительное,нейтральное,Либертарианство,risky
4006,ж,35,Москва,высшее,УрФУ,семья и дети,доброта и честность,резко негативное,нейтральное,Индифферентные,reliable
4007,м,43,Екатеринбург,среднее спец.,,развлечения и отдых,юмор и жизнелюбие,нейтральное,негативное,Либеральные,borderline
4008,ж,45,Томск,высшее,ТГУ,карьера и деньги,ум и креативность,нейтральное,компромиссное,Либертарианство,borderline
4009,м,38,Казань,неоконченное высшее,ТГУ,наука и исследование,ум и креативность,резко негативное,негативное,Консервативные,reliable
4010,м,37,Омск,высшее,МГТУ им. Баумана,семья и дети,ум и креативность,резко негативное,резко негативное,Умеренные,reliable
4011,м,31,Москва,среднее,,наука и исследование,ум и креативность,негативное,резко негативное,Умеренные,reliable
4012,ж,39,Москва,высшее,НГУ,саморазвитие,доброта и честность,резко негативное,резко негативное,Социалистические,reliable
4013,м,41,Москва,высшее,РАНХиГС,семья и дети,смелость и упорство,компромиссное,компромиссное,Умеренные,reliable
4014,ж,39,Челябинск,высшее,НГУ,семья и дети,доброта и честность,резко негативное,резко негативное,Консервативные,reliable
4015,ж,42,Москва,неоконченное высшее,СПбГУ,развлечения и отдых,ум и креативность,нейтральное,компромиссное,Индифферентные,borderline
4016,ж,43,Москва,среднее,,слава и влияние,юмор и жизнелюбие,положительное,положительное,Либертарианство,risky
4017,ж,29,Екатеринбург,неоконченное высшее,МИФИ,семья и дети,доброта и честность,негативное,негативное,Социалистические,reliable
4018,ж,36,Екатеринбург,среднее,,семья и дети,ум и креативность,негативное,положительное,Индифферентные,borderline
4019,ж,22,Екатеринбург,среднее спец.,,развлечения и отдых,власть и богатство,компромиссное,нейтральное,Либертарианство,risky
4020,ж,45,Уфа,высшее,ТГУ,семья и дети,ум и креативность,нейтральное,резко негативное,Умеренные,reliable
4021,ж,44,Казань,высшее,РАНХиГС,семья и дети,смелость и упорство,негативное,компромиссное,Умеренные,reliable
4022,ж,40,Казань,высшее,КФУ,семья и дети,ум и креативность,негативное,негативное,Консервативные,reliable
4023,м,45,Казань,высшее,КФУ,совершенствование мира,доброта и честность,резко негативное,негативное,Умеренные,reliable
4024,м,31,Москва,высшее,МГУ,совершенствование мира,доброта и честность,компромиссное,негативное,Умеренные,reliable
4025,м,38,Москва,высшее,КФУ,семья и дети,доброта и честность,компромиссное,нейтральное,Консервативные,reliable
4026,ж,26,Санкт-Петербург,высшее,НГУ,саморазвитие,юмор и жизнелюбие,компромиссное,компромиссное,Умеренные,borderline
4027,м,21,Челябинск,высшее,СПбГУ,совершенствование мира,ум и креативность,негативное,негативное,Социалистические,reliable
4028,м,33,Омск,высшее,МИФИ,семья и дети,ум и креативность,негативное,негативное,Консервативные,reliable
4029,ж,21,Екатеринбург,среднее спец.,,слава и влияние,власть и богатство,положительное,положительное,Либеральные,risky
4030,м,43,Томск,среднее,,слава и влияние,власть и богатство,нейтральное,нейтральное,Либеральные,risky
4031,м,28,Самара,высшее,УрФУ,семья и дети,доброта и честность,резко негативное,негативное,Умеренные,reliable
4032,м,39,Казань,среднее,,саморазвитие,доброта и честность,негативное,компромиссное,Консервативные,reliable
4033,м,31,Екатеринбург,высшее,КФУ,наука и исследование,доброта и честность,нейтральное,нейтральное,Умеренные,reliable
4034,м,28,Челябинск,высшее,ИТМО,семья и дети,доброта и честность,негативное,компромиссное,Умеренные,reliable
4035,ж,36,Москва,высшее,ТГУ,карьера и деньги,ум и креативность,нейтральное,компромиссное,Индифферентные,borderline
4036,м,21,Челябинск,высшее,УрФУ,развлечения и отдых,юмор и жизнелюбие,негативное,нейтральное,Либертарианство,borderline
4037,ж,44,Новосибирск,высшее,ИТМО,семья и дети,ум и креативность,негативное,резко негативное,Умеренные,reliable
4038,м,32,Челябинск,высшее,РАНХиГС,семья и дети,ум и креативность,негативное,компромиссное,Консервативные,reliable
4039,ж,35,Санкт-Петербург,неоконченное высшее,РАНХиГС,совершенствование мира,доброта и честность,резко негативное,нейтральное,Умеренные,reliable
4040,м,33,Томск,высшее,НГУ,наука и исследование,смелость и упорство,негативное,резко негативное,Умеренные,reliable
4041,ж,34,Томск,неоконченное высшее,ИТМО,семья и дети,доброта и честность,компромиссное,негативное,Индифферентные,borderline
4042,ж,38,Санкт-Петербург,неоконченное высшее,КФУ,саморазвитие,ум и креативность,резко негативное,негативное,Социалистические,reliable
4043,м,30,Омск,высшее,РАНХиГС,совершенствование мира,смелость и упорство,негативное,негативное,Умеренные,reliable
4044,м,32,Уфа,среднее,,семья и дети,ум и креативность,нейтральное,компромиссное,Консервативные,reliable
4045,м,36,Самара,высшее,ТГУ,семья и дети,доброта и честность,негативное,негативное,Умеренные,reliable
4046,м,40,Челябинск,высшее,НГУ,семья и дети,доброта и честность,негативное,резко негативное,Умеренные,reliable
4047,м,22,Екатеринбург,высшее,МИФИ,семья и дети,доброта и честность,негативное,компромиссное,Умеренные,reliable
4048,м,31,Санкт-Петербург,высшее,СПбГУ,саморазвитие,доброта и честность,негативное,негативное,Консервативные,reliable
4049,ж,23,Самара,высшее,МГУ,семья и дети,доброта и честность,резко негативное,нейтральное,Умеренные,reliable
4050,м,38,Уфа,высшее,КФУ,саморазвитие,доброта и честность,резко негативное,компромиссное,Консервативные,reliable
4051,м,21,Челябинск,среднее,,карьера и деньги,власть и богатство,положительное,компромиссное,Либеральные,risky
4052,ж,33,Томск,высшее,МГТУ им. Баумана,семья и дети,власть и богатство,нейтральное,компромиссное,Консервативные,borderline
4053,м,31,Уфа,высшее,УрФУ,семья и дети,ум и креативность,нейтральное,резко негативное,Индифферентные,reliable
4054,м,39,Самара,высшее,МГУ,совершенствование мира,ум и креативность,негативное,негативное,Умеренные,reliable
4055,ж,41,Санкт-Петербург,высшее,ИТМО,наука и исследование,доброта и честность,негативное,резко негативное,Умеренные,reliable
4056,ж,42,Самара,нет,,развлечения и отдых,юмор и жизнелюбие,нейтральное,положительное,Индифферентные,risky
4057,ж,45,Новосибирск,высшее,КФУ,наука и исследование,ум и креативность,компромиссное,компромиссное,Умеренные,reliable
4058,ж,34,Екатеринбург,неоконченное высшее,ИТМО,семья и дети,доброта и честность,резко негативное,резко негативное,Умеренные,reliable
4059,ж,41,Омск,среднее,,карьера и деньги,доброта и честность,нейтральное,негативное,Либеральные,borderline
4060,м,31,Омск,среднее,,карьера и деньги,ум и креативность,нейтральное,компромиссное,Либертарианство,borderline
4061,ж,32,Москва,среднее,,карьера и деньги,власть и богатство,компромиссное,компромиссное,Умеренные,borderline
4062,м,36,Уфа,неоконченное высшее,КФУ,саморазвитие,доброта и честность,негативное,нейтральное,Умеренные,borderline
4063,ж,40,Челябинск,неоконченное высшее,РАНХиГС,семья и дети,доброта и честность,негативное,резко негативное,Консервативные,reliable
4064,м,29,Омск,неоконченное высшее,КФУ,наука и исследование,ум и креативность,резко негативное,негативное,Умеренные,reliable
4065,ж,45,Санкт-Петербург,неоконченное высшее,ТГУ,семья и дети,доброта и честность,компромиссное,негативное,Умеренные,reliable
4066,м,28,Челябинск,среднее,,карьера и деньги,доброта и честность,нейтральное,нейтральное,Либеральные,borderline
4067,м,32,Челябинск,высшее,МГУ,семья и дети,доброта и честность,негативное,компромиссное,Умеренные,reliable
4068,м,42,Омск,высшее,МГУ,семья и дети,смелость и упорство,негативное,резко негативное,Умеренные,reliable
4069,ж,42,Санкт-Петербург,неоконченное высшее,ИТМО,семья и дети,доброта и честность,нейтральное,негативное,Консервативные,reliable
4070,м,26,Омск,среднее,,карьера и деньги,власть и богатство,положительное,нейтральное,Либеральные,risky
4071,ж,31,Томск,неоконченное высшее,МИФИ,совершенствование мира,смелость и упорство,негативное,негативное,Умеренные,reliable
4072,м,39,Томск,высшее,МИФИ,саморазвитие,доброта и честность,резко негативное,резко негативное,Социалистические,reliable
4073,м,38,Москва,высшее,ИТМО,наука и исследование,доброта и честность,компромиссное,резко негативное,Умеренные,reliable
4074,м,21,Казань,нет,,карьера и деньги,юмор и жизнелюбие,нейтральное,нейтральное,Либеральные,risky
4075,м,43,Уфа,среднее спец.,,развлечения и отдых,власть и богатство,нейтральное,положительное,Либеральные,risky
4076,ж,38,Екатеринбург,нет,,развлечения и отдых,власть и богатство,положительное,положительное,Либеральные,risky
4077,м,35,Новосибирск,высшее,КФУ,саморазвитие,смелость и упорство,негативное,негативное,Умеренные,reliable
4078,м,41,Казань,неоконченное высшее,СПбГУ,карьера и деньги,юмор и жизнелюбие,компромиссное,компромиссное,Умеренные,borderline
4079,м,34,Екатеринбург,неоконченное высшее,МИФИ,саморазвитие,смелость и упорство,резко негативное,негативное,Консервативные,reliable
4080,м,38,Самара,высшее,КФУ,наука и исследование,доброта и честность,резко негативное,резко негативное,Умеренные,reliable
4081,ж,27,Омск,высшее,МГУ,наука и исследование,доброта и честность,компромиссное,негативное,Консервативные,reliable
4082,м,33,Новосибирск,высшее,ТГУ,саморазвитие,доброта и честность,компромиссное,негативное,Консервативные,reliable
4083,м,23,Самара,высшее,КФУ,саморазвитие,доброта и честность,негативное,резко негативное,Консервативные,reliable
4084,м,40,Челябинск,высшее,УрФУ,совершенствование мира,ум и креативность,нейтральное,нейтральное,Социалистические,reliable
4085,ж,26,Уфа,высшее,МГТУ им. Баумана,карьера и деньги,ум и креативность,негативное,компромиссное,Умеренные,borderline
4086,м,25,Новосибирск,высшее,НГУ,саморазвитие,ум и креативность,компромиссное,резко негативное,Умеренные,reliable
4087,м,42,Екатеринбург,среднее,,наука и исследование,доброта и честность,негативное,резко негативное,Консервативные,reliable
4088,м,22,Казань,высшее,СПбГУ,совершенствование мира,ум и креативность,негативное,нейтральное,Умеренные,reliable
4089,м,26,Уфа,среднее,,развлечения и отдых,власть и богатство,нейтральное,положительное,Либеральные,risky
4090,ж,35,Санкт-Петербург,высшее,КФУ,наука и исследование,доброта и честность,нейтральное,резко негативное,Умеренные,reliable
4091,м,45,Челябинск,неоконченное высшее,УрФУ,саморазвитие,ум и креативность,резко негативное,резко негативное,Консервативные,reliable
4092,ж,45,Казань,высшее,МГТУ им. Баумана,саморазвитие,доброта и честность,компромиссное,негативное,Умеренные,reliable
4093,м,42,Омск,среднее,,семья и дети,юмор и жизнелюбие,негативное,компромиссное,Индифферентные,borderline
4094,ж,36,Омск,высшее,ИТМО,саморазвитие,доброта и честность,нейтральное,резко негативное,Консервативные,reliable
4095,м,38,Омск,высшее,ИТМО,совершенствование мира,смелость и упорство,резко негативное,негативное,Индифферентные,reliable
4096,ж,25,Казань,высшее,НГУ,саморазвитие,ум и креативность,негативное,резко негативное,Умеренные,reliable
4097,м,37,Челябинск,высшее,РАНХиГС,саморазвитие,смелость и упорство,резко негативное,нейтральное,Консервативные,reliable
4098,ж,35,Екатеринбург,нет,,карьера и деньги,власть и богатство,нейтральное,нейтральное,Индифферентные,risky
4099,м,30,Омск,среднее,,карьера и деньги,власть и богатство,нейтральное,компромиссное,Либеральные,risky
4100,ж,31,Санкт-Петербург,высшее,МГТУ им. Баумана,семья и дети,ум и креативность,нейтральное,негативное,Либертарианство,borderline
4101,м,44,Челябинск,среднее,,семья и дети,ум и креативность,компромиссное,нейтральное,Либеральные,borderline
4102,ж,39,Новосибирск,высшее,МГУ,саморазвитие,власть и богатство,нейтральное,компромиссное,Индифферентные,borderline
4103,м,33,Новосибирск,высшее,МГУ,наука и исследование,ум и креативность,резко негативное,резко негативное,Социалистические,reliable
4104,ж,31,Омск,высшее,ТГУ,семья и дети,ум и креативность,негативное,негативное,Умеренные,reliable
4105,ж,24,Санкт-Петербург,высшее,КФУ,карьера и деньги,доброта и честность,компромиссное,резко негативное,Умеренные,reliable
4106,ж,32,Челябинск,высшее,РАНХиГС,семья и дети,доброта и честность,резко негативное,негативное,Социалистические,reliable
4107,ж,40,Самара,неоконченное высшее,УрФУ,саморазвитие,доброта и честность,компромиссное,компромиссное,Либеральные,borderline
4108,ж,21,Екатеринбург,высшее,ИТМО,саморазвитие,ум и креативность,резко негативное,негативное,Индифферентные,reliable
4109,м,33,Уфа,высшее,СПбГУ,саморазвитие,ум и креативность,негативное,резко негативное,Умеренные,reliable
4110,ж,27,Екатеринбург,среднее спец.,,карьера и деньги,ум и креативность,негативное,компромиссное,Умеренные,borderline
4111,ж,28,Челябинск,среднее,,развлечения и отдых,юмор и жизнелюбие,положительное,компромиссное,Либеральные,risky
4112,ж,30,Екатеринбург,среднее спец.,,саморазвитие,ум и креативность,компромиссное,негативное,Консервативные,borderline
4113,м,35,Москва,высшее,УрФУ,саморазвитие,ум и креативность,резко негативное,компромиссное,Умеренные,reliable
4114,м,33,Томск,высшее,ИТМО,карьера и деньги,доброта и честность,резко негативное,негативное,Умеренные,reliable
4115,м,30,Екатеринбург,высшее,МИФИ,карьера и деньги,юмор и жизнелюбие,нейтральное,нейтральное,Умеренные,borderline
4116,м,27,Новосибирск,высшее,РАНХиГС,карьера и деньги,ум и креативность,нейтральное,компромиссное,Индифферентные,borderline
4117,м,39,Новосибирск,высшее,РАНХиГС,карьера и деньги,ум и креативность,компромиссное,компромиссное,Либеральные,borderline
4118,ж,29,Екатеринбург,неоконченное высшее,ИТМО,саморазвитие,доброта и честность,нейтральное,нейтральное,Либертарианство,borderline
4119,ж,33,Омск,высшее,ИТМО,саморазвитие,ум и креативность,резко негативное,резко негативное,Консервативные,reliable
4120,ж,45,Уфа,высшее,РАНХиГС,совершенствование мира,смелость и упорство,резко негативное,негативное,Умеренные,reliable
4121,ж,44,Челябинск,высшее,ТГУ,наука и исследование,доброта и честность,резко негативное,негативное,Консервативные,reliable
4122,ж,29,Новосибирск,высшее,МГТУ им. Баумана,семья и дети,ум и креативность,компромиссное,негативное,Умеренные,reliable
4123,ж,22,Самара,среднее,,совершенствование мира,доброта и честность,негативное,негативное,Социалистические,reliable
4124,м,38,Уфа,неоконченное высшее,МГУ,семья и дети,доброта и честность,резко негативное,нейтральное,Умеренные,reliable
4125,ж,38,Уфа,среднее спец.,,карьера и деньги,красота и здоровье,положительное,положительное,Либеральные,risky
4126,м,40,Челябинск,неоконченное высшее,УрФУ,карьера и деньги,власть и богатство,положительное,негативное,Либертарианство,borderline
4127,ж,45,Томск,неоконченное высшее,СПбГУ,наука и исследование,доброта и честность,резко негативное,резко негативное,Умеренные,reliable
4128,ж,35,Санкт-Петербург,высшее,КФУ,наука и исследование,ум и креативность,резко негативное,негативное,Умеренные,reliable
4129,м,27,Томск,высшее,РАНХиГС,саморазвитие,доброта и честность,негативное,резко негативное,Умеренные,reliable
4130,ж,39,Омск,высшее,УрФУ,саморазвитие,ум и креативность,негативное,положительное,Консервативные,borderline
4131,ж,41,Казань,среднее,,развлечения и отдых,власть и богатство,компромиссное,положительное,Либертарианство,risky
4132,м,43,Уфа,неоконченное высшее,ТГУ,развлечения и отдых,ум и креативность,компромиссное,компромиссное,Либеральные,borderline
4133,ж,21,Екатеринбург,неоконченное высшее,УрФУ,семья и дети,ум и креативность,негативное,негативное,Умеренные,reliable
4134,м,23,Екатеринбург,высшее,УрФУ,семья и дети,доброта и честность,компромиссное,нейтральное,Умеренные,reliable
4135,ж,35,Уфа,высшее,НГУ,саморазвитие,ум и креативность,негативное,нейтральное,Социалистические,reliable
4136,м,44,Екатеринбург,высшее,УрФУ,саморазвитие,ум и креативность,негативное,негативное,Умеренные,reliable
4137,ж,31,Томск,среднее,,семья и дети,смелость и упорство,нейтральное,резко негативное,Социалистические,reliable
4138,ж,43,Москва,среднее,,саморазвитие,ум и креативность,компромиссное,компромиссное,Либеральные,borderline
4139,м,36,Новосибирск,среднее спец.,,развлечения и отдых,власть и богатство,компромиссное,положительное,Либеральные,risky
4140,ж,32,Томск,среднее,,саморазвитие,доброта и честность,негативное,компромиссное,Умеренные,borderline
4141,ж,34,Новосибирск,высшее,ТГУ,семья и дети,ум и креативность,негативное,нейтральное,Умеренные,borderline
4142,м,37,Казань,высшее,УрФУ,карьера и деньги,доброта и честность,негативное,компромиссное,Умеренные,reliable
4143,м,34,Уфа,неоконченное высшее,МГТУ им. Баумана,семья и дети,доброта и честность,положительное,нейтральное,Индифферентные,borderline
4144,ж,37,Омск,среднее,,семья и дети,ум и креативность,негативное,негативное,Умеренные,borderline
4145,ж,23,Москва,высшее,ИТМО,совершенствование мира,доброта и честность,резко негативное,негативное,Консервативные,reliable
4146,ж,29,Самара,высшее,МГУ,саморазвитие,доброта и честность,негативное,резко негативное,Умеренные,reliable
4147,ж,44,Челябинск,среднее спец.,,карьера и деньги,власть и богатство,положительное,положительное,Либеральные,risky
4148,ж,33,Екатеринбург,среднее,,саморазвитие,доброта и честность,резко негативное,компромиссное,Консервативные,reliable
4149,м,29,Москва,неоконченное высшее,НГУ,семья и дети,доброта и честность,нейтральное,компромиссное,Либертарианство,borderline
4150,ж,36,Екатеринбург,высшее,УрФУ,наука и исследование,ум и креативность,негативное,компромиссное,Умеренные,reliable
4151,м,41,Новосибирск,среднее,,саморазвитие,юмор и жизнелюбие,компромиссное,компромиссное,Умеренные,borderline
4152,ж,43,Томск,среднее,,развлечения и отдых,ум и креативность,нейтральное,нейтральное,Индифферентные,borderline
4153,м,38,Екатеринбург,среднее спец.,,карьера и деньги,юмор и жизнелюбие,положительное,положительное,Либертарианство,risky
4154,ж,38,Омск,высшее,ИТМО,совершенствование мира,ум и креативность,компромиссное,резко негативное,Консервативные,reliable
4155,м,36,Уфа,высшее,МИФИ,саморазвитие,доброта и честность,резко негативное,компромиссное,Консервативные,reliable
4156,ж,41,Томск,среднее,,карьера и деньги,доброта и честность,негативное,негативное,Индифферентные,borderline
4157,ж,42,Томск,высшее,МГУ,совершенствование мира,смелость и упорство,нейтральное,резко негативное,Социалистические,reliable
4158,ж,32,Самара,высшее,РАНХиГС,саморазвитие,доброта и честность,резко негативное,негативное,Социалистические,reliable
4159,м,25,Казань,высшее,РАНХиГС,развлечения и отдых,власть и богатство,компромиссное,положительное,Индифферентные,borderline
4160,ж,29,Омск,среднее,,семья и дети,доброта и честность,резко негативное,негативное,Умеренные,reliable
4161,м,29,Омск,высшее,СПбГУ,карьера и деньги,ум и креативность,нейтральное,нейтральное,Либеральные,borderline
4162,м,26,Екатеринбург,неоконченное высшее,МИФИ,совершенствование мира,ум и креативность,негативное,нейтральное,Умеренные,reliable
4163,м,29,Томск,высшее,МГТУ им. Баумана,карьера и деньги,юмор и жизнелюбие,положительное,нейтральное,Умеренные,borderline
4164,м,32,Омск,высшее,УрФУ,семья и дети,ум и креативность,негативное,негативное,Индифферентные,reliable
4165,м,45,Москва,среднее спец.,,развлечения и отдых,власть и богатство,нейтральное,нейтральное,Либеральные,risky
4166,м,39,Москва,неоконченное высшее,МИФИ,семья и дети,ум и креативность,негативное,негативное,Консервативные,reliable
4167,ж,22,Москва,неоконченное высшее,НГУ,саморазвитие,ум и креативность,резко негативное,негативное,Умеренные,reliable
4168,ж,30,Казань,среднее спец.,,карьера и деньги,ум и креативность,нейтральное,компромиссное,Умеренные,borderline
4169,ж,28,Омск,среднее спец.,,слава и влияние,власть и богатство,нейтральное,положительное,Либеральные,risky
4170,м,40,Уфа,высшее,МИФИ,саморазвитие,смелость и упорство,негативное,резко негативное,Умеренные,reliable
4171,ж,22,Томск,высшее,МГТУ им. Баумана,наука и исследование,ум и креативность,резко негативное,негативное,Умеренные,reliable
4172,м,28,Томск,высшее,УрФУ,саморазвитие,ум и креативность,резко негативное,нейтральное,Индифферентные,reliable
4173,м,21,Омск,среднее спец.,,карьера и деньги,красота и здоровье,положительное,положительное,Либеральные,risky
4174,м,31,Екатеринбург,высшее,КФУ,семья и дети,ум и креативность,негативное,резко негативное,Консервативные,reliable
4175,м,21,Томск,среднее,,саморазвитие,доброта и честность,негативное,резко негативное,Консервативные,reliable
4176,м,30,Томск,высшее,НГУ,карьера и деньги,ум и креативность,компромиссное,негативное,Либертарианство,borderline
4177,ж,27,Уфа,высшее,МИФИ,наука и исследование,доброта и честность,негативное,негативное,Умеренные,reliable
4178,м,45,Казань,высшее,МГУ,саморазвитие,ум и креативность,компромиссное,резко негативное,Умеренные,reliable
4179,м,32,Казань,высшее,КФУ,семья и дети,смелость и упорство,резко негативное,резко негативное,Индифферентные,reliable
